Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params
anc_sym_mig_size	Round_4_Replicate_9	-599.3	1212.6	798.97	379.35	0.7035,11.5276,0.17,0.1514,15.1375,1.1322,0.1552	
anc_sym_mig_size	Round_4_Replicate_11	-599.54	1213.08	836.74	394.59	1.0935,13.5199,0.185,0.179,15.4348,0.6742,0.1859	
anc_sym_mig	Round_4_Replicate_16	-638.26	1286.52	889.33	615.55	0.2012,0.1848,15.6516,0.1741,0.1946	
anc_sym_mig	Round_4_Replicate_28	-642.55	1295.1	932.6	577.98	0.217,0.2075,26.3863,0.157,0.2316	
anc_sym_mig	Round_4_Replicate_25	-644.6	1299.2	920.44	611.1	0.2102,0.1984,10.1269,0.235,0.2037	
anc_sym_mig	Round_4_Replicate_15	-646.35	1302.7	992.52	589.86	0.2297,0.1967,13.7358,0.1989,0.2305	
anc_sym_mig	Round_4_Replicate_3	-646.64	1303.28	985.13	662.34	0.1986,0.1819,14.8946,0.2636,0.2072	
no_mig	Round_4_Replicate_3	-607.8	1221.6	836.99	647.45	0.1045,0.1003,0.1109	
no_mig	Round_4_Replicate_17	-607.91	1221.82	837.41	658.24	0.097,0.0926,0.1022	
no_mig	Round_4_Replicate_14	-608.03	1222.06	827.83	660.46	0.0935,0.0908,0.0984	
no_mig	Round_4_Replicate_19	-608.16	1222.32	841.73	635.97	0.1143,0.105,0.1177	
no_mig	Round_4_Replicate_21	-608.18	1222.36	820.52	631.4	0.1129,0.1097,0.1183	
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_7	-651.56	1319.12	907.7	69.71	1.0792,0.1226,1.3064,1.4928,3.8854,15.6275,0.2713,1.6121	
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_5	-655.84	1327.68	894.2	104.64	0.6506,0.3168,1.0067,0.8243,3.9368,9.8969,0.2237,0.848	
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_24	-657.53	1331.06	962.58	138.43	0.8702,0.1824,0.8708,0.9169,1.8441,5.3763,0.2656,0.8344	
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_1	-658.74	1333.48	1000.13	131.51	0.5653,0.1423,0.8908,0.6777,2.4748,7.1108,0.2136,0.7123	
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_12	-669.38	1354.76	850.04	126.18	0.6371,0.2795,0.7155,0.9196,5.2281,7.8888,0.3206,0.8015	
asym_mig	Round_4_Replicate_12	-633.77	1277.54	774.53	114.57	1.2621,1.2378,0.0992,0.0504,7.047	
asym_mig	Round_4_Replicate_37	-636.92	1283.84	799.39	106.16	1.5447,1.3241,0.0627,0.0458,6.6369	
asym_mig	Round_4_Replicate_1	-637.1	1284.2	803.21	160.45	1.0412,0.8416,0.0936,0.0779,4.1172	
asym_mig	Round_4_Replicate_28	-638.72	1287.44	744.7	135.93	1.1383,1.1924,0.0912,0.0536,4.495	
asym_mig	Round_4_Replicate_8	-640.77	1291.54	819.83	130.06	1.1284,0.9605,0.0953,0.0837,6.9114	
anc_asym_mig	Round_4_Replicate_26	-632.89	1277.78	774.44	247.35	0.4316,0.5745,0.4199,0.1386,12.9741,0.0376	
anc_asym_mig	Round_4_Replicate_5	-633.6	1279.2	797.34	202.67	0.5851,0.6723,0.3204,0.1512,8.5481,0.0782	
anc_asym_mig	Round_4_Replicate_35	-634.2	1280.4	783.4	293.54	0.3827,0.5027,0.5554,0.1869,9.6492,0.0645	
anc_asym_mig	Round_4_Replicate_10	-634.82	1281.64	781.42	233.25	0.5035,0.6212,0.4427,0.1635,10.6384,0.0861	
anc_asym_mig	Round_4_Replicate_3	-636.05	1284.1	801.42	244.15	0.5271,0.5508,0.3744,0.2139,5.365,0.0801	
sec_contact_asym_mig_size	Round_4_Replicate_17	-654.55	1325.1	855.99	1421.08	0.067,1.9731,0.0773,0.0836,1.8187,0.9772,4.8639,4.0076	
sec_contact_asym_mig_size	Round_4_Replicate_6	-670.95	1357.9	911.95	1022.23	0.0634,0.6677,0.1234,0.0995,1.003,1.0921,4.8257,3.6028	
sec_contact_asym_mig_size	Round_4_Replicate_20	-671.19	1358.38	849.98	1197.84	0.0917,1.8857,0.1059,0.0991,1.6915,1.0557,5.594,5.1683	
sec_contact_asym_mig_size	Round_4_Replicate_9	-675.64	1367.28	892.91	1341.62	0.0664,1.4127,0.094,0.0788,1.6489,1.4402,7.4105,2.4005	
sec_contact_asym_mig_size	Round_4_Replicate_7	-676.67	1369.34	919.82	1390.41	0.0851,1.4147,0.0955,0.0709,1.2733,1.6775,4.3063,2.5844	
asym_mig_size	Round_4_Replicate_18	-638.12	1292.24	846.19	290.36	0.3199,1.1895,0.2581,0.2112,0.6474,0.2065,25.8074,0.1989	
asym_mig_size	Round_4_Replicate_30	-653.88	1323.76	905.12	283.48	0.3775,1.4584,0.2775,0.1896,0.6284,0.3089,7.1727,0.2258	
asym_mig_size	Round_4_Replicate_31	-669.24	1354.48	876.82	356.16	0.2966,0.988,0.2575,0.2028,0.476,0.4983,11.2806,0.2427	
asym_mig_size	Round_4_Replicate_10	-674.63	1365.26	979.49	430.25	0.2785,2.1877,0.2442,0.1299,0.3561,0.7423,22.7408,0.2439	
asym_mig_size	Round_4_Replicate_26	-675.85	1367.7	960.05	244.81	0.3784,2.4969,0.3839,0.2254,0.2384,0.3698,25.3545,0.3298	
sym_mig_twoepoch	Round_4_Replicate_40	-616.86	1245.72	763.21	83.7	1.7218,1.4945,0.1255,0.0351,23.5379,1.0845	
sym_mig_twoepoch	Round_4_Replicate_15	-617.54	1247.08	746.86	93.26	1.5558,1.4285,0.1686,0.0357,24.8026,1.2126	
sym_mig_twoepoch	Round_4_Replicate_18	-618.01	1248.02	769.64	96.86	1.4689,1.2861,0.1417,0.0355,21.7761,0.7677	
sym_mig_twoepoch	Round_4_Replicate_19	-618.85	1249.7	783.18	75.18	2.0273,1.6862,0.1204,0.026,19.8273,1.3939	
sym_mig_twoepoch	Round_4_Replicate_8	-619.55	1251.1	767.16	131.97	1.0306,0.9832,0.1993,0.0463,22.1294,0.6022	
sec_contact_asym_mig_three_epoch	Round_4_Replicate_17	-639.25	1292.5	843.4	77.65	1.5567,1.4411,0.2147,0.2408,12.9552,4.2898,0.7087	
sec_contact_asym_mig_three_epoch	Round_4_Replicate_11	-647.35	1308.7	874.57	114.78	1.0804,1.2404,0.1864,0.0988,4.7121,1.7832,0.228	
sec_contact_asym_mig_three_epoch	Round_4_Replicate_36	-649.5	1313.0	858.08	70.66	1.4708,2.2052,0.3495,0.1124,9.9449,1.8053,0.8779	
sec_contact_asym_mig_three_epoch	Round_4_Replicate_40	-650.0	1314.0	882.39	58.95	2.5517,1.8905,0.07,0.1077,10.8194,4.7656,0.5065	
sec_contact_asym_mig_three_epoch	Round_4_Replicate_26	-652.94	1319.88	863.58	83.91	1.2132,1.3657,0.1775,0.1658,9.7927,2.5919,0.3557	
sym_mig	Round_4_Replicate_4	-591.31	1190.62	754.78	616.75	0.1522,0.136,0.2612,0.19	
sym_mig	Round_4_Replicate_1	-591.73	1191.46	743.37	617.31	0.1509,0.1379,0.29,0.1925	
sym_mig	Round_4_Replicate_3	-592.05	1192.1	737.49	588.25	0.1715,0.1592,0.2339,0.2218	
sym_mig	Round_4_Replicate_23	-592.39	1192.78	771.45	635.93	0.142,0.1234,0.3001,0.177	
sym_mig	Round_4_Replicate_6	-592.61	1193.22	758.9	588.54	0.1807,0.1561,0.2423,0.2335	
sec_contact_sym_mig	Round_4_Replicate_32	-596.87	1203.74	775.66	553.69	0.204,0.1841,0.1608,0.093,0.174	
sec_contact_sym_mig	Round_4_Replicate_39	-601.49	1212.98	766.62	521.04	0.2312,0.2186,0.1652,0.1388,0.1902	
sec_contact_sym_mig	Round_4_Replicate_27	-604.15	1218.3	769.32	503.32	0.249,0.2308,0.1319,0.1273,0.2039	
sec_contact_sym_mig	Round_4_Replicate_18	-606.06	1222.12	753.78	486.68	0.2731,0.241,0.1332,0.109,0.2338	
sec_contact_sym_mig	Round_4_Replicate_23	-606.55	1223.1	772.8	499.09	0.2648,0.2219,0.1211,0.0663,0.247	
anc_asym_mig_size	Round_4_Replicate_14	-604.45	1224.9	841.1	572.54	0.7139,3.4877,0.1383,0.1192,1.512,9.2592,13.9618,0.1317	
anc_asym_mig_size	Round_4_Replicate_5	-609.75	1235.5	849.83	834.57	0.5894,1.1411,0.1039,0.0794,0.8009,14.7158,26.4951,0.0881	
anc_asym_mig_size	Round_4_Replicate_6	-610.93	1237.86	868.79	607.61	0.6202,2.0226,0.1538,0.1244,0.6804,5.5797,17.2666,0.134	
anc_asym_mig_size	Round_4_Replicate_33	-617.41	1250.82	942.12	714.63	0.4171,4.0319,0.1391,0.0683,1.0275,4.5915,17.6741,0.082	
anc_asym_mig_size	Round_4_Replicate_19	-618.63	1253.26	805.16	635.36	0.7583,4.1281,0.1309,0.136,1.014,18.1369,18.3145,0.1336	
sec_contact_asym_mig	Round_4_Replicate_20	-636.95	1285.9	751.12	187.8	0.6998,0.7846,0.2129,0.0857,0.815,3.386	
sec_contact_asym_mig	Round_4_Replicate_15	-637.3	1286.6	788.27	135.85	1.2351,1.0066,0.0799,0.0713,1.6204,3.2342	
sec_contact_asym_mig	Round_4_Replicate_23	-642.37	1296.74	790.18	144.99	1.189,0.9709,0.092,0.0736,2.4219,1.6205	
sec_contact_asym_mig	Round_4_Replicate_9	-643.16	1298.32	773.79	151.16	1.1829,1.0007,0.076,0.066,1.4907,2.0576	
sec_contact_asym_mig	Round_4_Replicate_38	-643.79	1299.58	817.97	163.7	1.0244,0.7766,0.1002,0.1049,2.1239,1.7801	
sym_mig_size	Round_4_Replicate_39	-503.91	1021.82	522.3	65.2	3.8809,3.0673,0.3542,0.6031,0.0396,12.1469,0.0966	
sym_mig_size	Round_4_Replicate_10	-504.71	1023.42	531.46	79.39	4.0406,3.2413,0.2615,0.3393,0.0525,9.0944,0.0893	
sym_mig_size	Round_4_Replicate_6	-510.18	1034.36	555.14	77.76	2.8388,2.3779,0.3211,0.4718,0.0459,10.6079,0.0675	
sym_mig_size	Round_4_Replicate_33	-512.32	1038.64	572.07	123.23	3.3501,1.9083,0.2752,0.4366,0.0677,5.2497,0.1334	
sym_mig_size	Round_4_Replicate_14	-513.77	1041.54	547.48	104.01	3.2559,1.6021,0.1263,0.5176,0.0557,6.861,0.0472	
sec_contact_sym_mig_size	Round_4_Replicate_11	-475.25	964.5	475.87	30.93	20.9115,8.8507,0.4028,0.9131,0.1326,21.5823,0.2317	
sec_contact_sym_mig_size	Round_4_Replicate_38	-481.59	977.18	473.51	37.52	18.9981,8.0069,0.4334,0.8551,0.1391,16.9564,0.2512	
sec_contact_sym_mig_size	Round_4_Replicate_15	-484.75	983.5	514.41	45.35	15.0216,5.976,0.2727,0.7565,0.148,13.7209,0.1592	
sec_contact_sym_mig_size	Round_4_Replicate_21	-489.52	993.04	498.16	30.41	28.4174,7.9327,0.4237,1.318,0.1094,21.9576,0.2893	
sec_contact_sym_mig_size	Round_4_Replicate_25	-493.08	1000.16	528.58	50.3	10.4309,4.5631,0.4172,0.9768,0.1335,12.6318,0.2042	
asym_mig_twoepoch	Round_4_Replicate_26	-646.22	1308.44	803.17	1144.28	0.0872,0.1224,0.1349,4.5465,1.9037,0.4167,0.1904,1.8237	
asym_mig_twoepoch	Round_4_Replicate_4	-646.73	1309.46	761.38	1110.88	0.0845,0.1414,0.0966,4.894,2.0417,0.338,0.1157,3.293	
asym_mig_twoepoch	Round_4_Replicate_30	-649.44	1314.88	760.2	1342.99	0.0676,0.1214,0.0455,11.2074,2.5669,0.3435,0.0482,2.2669	
asym_mig_twoepoch	Round_4_Replicate_28	-650.31	1316.62	758.35	1183.61	0.0828,0.1354,0.0567,6.3109,2.3107,0.3024,0.0665,3.6858	
asym_mig_twoepoch	Round_4_Replicate_38	-650.88	1317.76	750.75	1163.79	0.0825,0.1394,0.067,5.843,2.3232,0.321,0.1214,1.9737	
no_mig_size	Round_4_Replicate_20	-607.35	1226.7	809.82	549.0	0.7829,2.6986,0.1485,0.1335,0.0942,0.1323	
no_mig_size	Round_4_Replicate_9	-608.73	1229.46	846.61	496.59	2.2032,3.3027,0.1437,0.161,0.2115,0.1503	
no_mig_size	Round_4_Replicate_36	-609.0	1230.0	888.55	515.59	1.4019,6.153,0.1547,0.1526,0.1747,0.1599	
no_mig_size	Round_4_Replicate_39	-609.92	1231.84	870.32	563.52	0.914,1.5738,0.1536,0.1442,0.0626,0.157	
no_mig_size	Round_4_Replicate_15	-611.77	1235.54	864.24	548.87	0.9372,1.8865,0.169,0.1529,0.061,0.1666	
